QPS,Standard P50 (ms),Prefix-aware P50 (ms),Standard P99 (ms),Prefix-aware P99 (ms),Difference (%)
1.7,503,75,973,98,90
5.5,1297,84,75554,125,100
7.5,10617,89,173115,127,100
11.3,10617,109,173115,168,100
11.7,10617,110,173115,191,100
12.1,10617,111,173115,181,100
12.6,10617,112,173115,183,100
12.6,10617,110,173115,189,100
14.2,10617,143,173115,317,100
15.2,10617,143,173115,328,100
15.2,10617,148,173115,339,100
15.2,10617,147,173115,324,100
15.4,10617,146,173115,322,100
15.5,10617,143,173115,326,100
15.7,10617,146,173115,330,100
